BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,Q1,Q1,Q1,HomeImp,Other,Q3,0.0,0.0,Q1,1.0,Q1,Q2
1,Q1,Q3,Q2,HomeImp,Other,Q2,0.0,2.0,Q2,0.0,Q1,Q2
1,Q1,Q1,Q1,HomeImp,Other,Q2,0.0,0.0,Q2,1.0,Q1,Q2
1,Q1,Q2,Q2,DebtCon,Other,Q2,0.0,0.0,Q2,1.0,Q2,Q2
0,Q1,Q4,Q3,HomeImp,Office,Q1,0.0,0.0,Q1,0.0,Q1,Q2
1,Q1,Q1,Q1,HomeImp,Other,Q3,0.0,0.0,Q1,1.0,Q1,Q3
1,Q1,Q2,Q1,HomeImp,Other,Q2,3.0,2.0,Q1,1.0,Q2,Q2
1,Q1,Q1,Q1,HomeImp,Other,Q3,0.0,0.0,Q1,0.0,Q1,Q3
1,Q1,Q1,Q1,HomeImp,Other,Q1,0.0,2.0,Q3,1.0,Q1,Q2
1,Q1,Q2,Q1,HomeImp,Sales,Q4,0.0,0.0,Q1,0.0,Q1,Q2
1,Q1,Q1,Q2,DebtCon,Other,Q4,0.0,0.0,Q2,1.0,Q2,Q2
1,Q1,Q1,Q1,HomeImp,Office,Q3,0.0,1.0,Q2,1.0,Q1,Q2
1,Q1,Q1,Q1,HomeImp,Other,Q1,0.0,0.0,Q1,2.0,Q3,Q2
0,Q1,Q2,Q2,DebtCon,Mgr,Q1,0.0,0.0,Q2,0.0,Q3,Q2
1,Q1,Q3,Q2,HomeImp,Other,Q3,0.0,1.0,Q2,0.0,Q2,Q2
1,Q1,Q1,Q1,HomeImp,Other,Q2,0.0,1.0,Q4,0.0,Q1,Q2
1,Q1,Q4,Q3,HomeImp,Mgr,Q2,2.0,6.0,Q2,1.0,Q3,Q2
1,Q1,Q1,Q2,DebtCon,Other,Q4,0.0,0.0,Q2,1.0,Q2,Q1
1,Q1,Q1,Q1,HomeImp,Other,Q2,0.0,0.0,Q1,1.0,Q2,Q2
0,Q1,Q4,Q4,HomeImp,Office,Q1,0.0,0.0,Q1,0.0,Q1,Q2
1,Q1,Q1,Q1,HomeImp,Other,Q1,0.0,1.0,Q2,1.0,Q1,Q2
1,Q1,Q2,Q2,HomeImp,ProfExe,Q2,1.0,0.0,Q2,1.0,Q1,Q2
1,Q1,Q1,Q1,HomeImp,Mgr,Q3,0.0,0.0,Q1,2.0,Q3,Q2
1,Q1,Q1,Q2,HomeImp,Mgr,Q4,0.0,2.0,Q2,0.0,Q1,Q2
1,Q1,Q2,Q1,HomeImp,Other,Q2,0.0,0.0,Q1,3.0,Q1,Q2
1,Q1,Q1,Q1,HomeImp,Mgr,Q3,0.0,0.0,Q1,1.0,Q3,Q4
0,Q1,Q4,Q3,HomeImp,Office,Q2,0.0,0.0,Q1,0.0,Q1,Q1
1,Q1,Q1,Q1,HomeImp,Other,Q4,0.0,0.0,Q2,1.0,Q2,Q2
1,Q1,Q1,Q1,HomeImp,Other,Q3,1.0,2.0,Q4,0.0,Q1,Q2
0,Q1,Q1,Q1,HomeImp,Self,Q2,0.0,0.0,Q3,0.0,Q1,Q2
0,Q1,Q3,Q2,HomeImp,ProfExe,Q3,0.0,0.0,Q4,0.0,Q1,Q2
1,Q1,Q2,Q1,HomeImp,Self,Q4,2.0,15.0,Q2,3.0,Q4,Q2
1,Q1,Q1,Q1,HomeImp,Other,Q4,4.0,0.0,Q1,2.0,Q1,Q2
1,Q1,Q3,Q3,DebtCon,ProfExe,Q2,1.0,0.0,Q2,2.0,Q3,Q2
0,Q1,Q4,Q3,HomeImp,Office,Q1,0.0,0.0,Q1,0.0,Q1,Q1
0,Q1,Q4,Q4,HomeImp,Office,Q1,0.0,0.0,Q1,0.0,Q1,Q1
1,Q1,Q1,Q2,HomeImp,Other,Q4,3.0,0.0,Q2,2.0,Q1,Q3
1,Q1,Q2,Q2,DebtCon,Mgr,Q1,0.0,0.0,Q4,3.0,Q4,Q4
0,Q1,Q4,Q4,HomeImp,Office,Q1,0.0,0.0,Q1,0.0,Q1,Q2
1,Q1,Q1,Q1,HomeImp,Other,Q1,0.0,0.0,Q1,5.0,Q1,Q2
1,Q1,Q2,Q1,HomeImp,Other,Q1,0.0,1.0,Q1,0.0,Q1,Q2
1,Q1,Q2,Q1,HomeImp,Other,Q1,0.0,1.0,Q1,1.0,Q1,Q2
1,Q1,Q4,Q4,HomeImp,Other,Q3,0.0,0.0,Q2,0.0,Q4,Q2
1,Q1,Q1,Q1,DebtCon,Other,Q1,0.0,0.0,Q3,0.0,Q1,Q2
